Numéro identification YOUTUBE;Date création chaîne;Nom de la chaîne;Nombre d'abonnés;Nombre de vues;Pays;Thème
117792;2007;Cyprien;12893747;2155717489;France;Comedy
122354;2013;Bounce Patrol Kids;6956572;4045136176;Australia;Music
141676;2015;AzzyLand;7806285;2231755724;Canada;Games
156123;2016;Toys and Colors;9926753;5727460994;USA;education
169936;2007;Rémi GAILLARD;6767527;1679201802;France;Comedy
184207;2018;Vlad and Nikita;16632281;5550241931;USA;TV
186657;2010;Clean Bandit;7484089;4679862160;United Kingdom;Music
189269;2011;HowToBasic;12965236;2104424636;Australia;How To
201577;2010;BollyHD 1080p;5203898;1115532896;India;Entertainment
203295;2014;Mister Max;11938769;645635981;United Kingdom;Entertainment
206080;2007;Troye Sivan;6882677;258427385;Australia;People
223321;2008;Mister V;4650576;364534699;France;Comedy
223491;2011;T-Series Apna Punjab;15256795;7516126020;India;Music
252925;2015;TheMoshayaFamily;1633457;607960406;United Kingdom;People
268218;2005;LEGO;7276279;8994894938;France;Entertainment
270667;2013;Strawberry Jam Toys;5221701;1904109605;Australia;Entertainment
286228;2007;Tips Official;17002363;7010544938;India;Music
287723;2012;Amixem;5063902;1007351313;France;Games
292924;2008;WORLDSTARHIPHOP;19989007;13911880675;USA;music
310793;2014;Planet Dolan;5785409;1744457324;Australia;Education
311193;2016;Lama Faché;4889145;1118573523;France;Entertainment
316260;2007;SAB TV;16801170;14337413937;India;Entertainment
325330;2012;TheSoundYouNeed;5142005;2148519692;France;Music
336107;2007;WWE;40647182;30629808113;USA;sports
348439;2013;RackaRacka;5361132;825343357;Australia;Entertainment
349866;2005;England;912494;343375259;United Kingdom;Sports
351578;2012;Katie Cutie Kids TV;5672886;2792273076;Canada;Music
355231;2015;LazarBeam;9132073;2323786580;Australia;Games
361114;2006;SET India;43583271;30308211069;India;Entertainment
363517;2013;Bigorneaux & Coquillages;6197618;788781416;France;Games
366091;2007;5 Seconds of Summer;5972835;306745493;Australia;Music
368511;2013;Lachlan;11040815;2758771986;Australia;Games
368928;2012;The Rybka Twins;4777656;546669449;Australia;People
377783;2008;Colors TV;16578374;11224451408;India;Entertainment
395573;2016;SIS vs BRO;8828969;3332271558;Canada;Entertainment
410810;2006;Ed Sheeran;37584200;16219952035;United Kingdom;Music
440240;2011;VanossGaming;24307877;10635333950;Canada;Games
442505;2011;NORMAN FAIT DES VIDÉOS;11342654;2087534144;France;Comedy
470379;2006;Natoo;4771306;655582219;France;Comedy
480482;2016;Awesome Kids Toys;2127463;550154805;Canada;
481189;2015;CKN Toys;11729907;10177247137;Australia;Entertainment
484253;2016;Family GamesTV;;3377711174;USA;entertainment
490135;2008;Queen Official;8861689;4589959531;United Kingdom;Music
498399;2013;Baby Big Mouth;10652653;11377328450;Canada;Entertainment
513868;2011;NoCopyrightSounds;21038872;5852468567;United Kingdom;Music
527729;2015;Webs & Tiaras - Toy Monster;7203358;6727576995;Canada;Entertainment
541181;2014;JoBlo Movie Clips;446433;281905293;Canada;Film
549621;2012;Speed Records;21469966;10657084228;India;Music
556302;2006;Cocomelon Nursery Rhymes;39938517;22480849104;USA;education
559841;2011;TheWeekndVEVO;11225911;7464191958;Canada;Music
571871;2012;Muselk;7629908;2414320992;Australia;Games
577427;2016;5-Minute Crafts;51586654;12740518832;USA;How To
588422;2007;Cartoon Network UK;3228083;2381763959;United Kingdom;Entertainment
595826;2008;Tibo InShape;5857341;1483191463;France;Sports
602369;2013;iggyazaleamusicVEVO;5183121;2675102564;Australia;Music
669706;2011;SQUEEZIE;12657224;5936713423;France;Comedy
682698;2010;Movieclips;23704941;21398663955;USA;Film
687496;2017;Hun Mono;;308075062;USA;TV
687763;2006;T-Series;89318670;64551709914;India;Music
688416;2006;Super Simple Songs - Kids Songs;13907241;12688155980;Canada;Education
703438;2010;Shemaroo Filmi Gaane;21099517;9678454040;India;Music
707815;2011;JoBlo Movie Trailers;1961389;2174430158;Canada;Film
723022;2012;Boram Tube Vlog;9538649;2995212981;USA;TV
727178;2014;Zee Music Company;32765513;15388988447;India;Music
739904;2016;zafar 3656;253112;82151443;United Kingdom;Music
771358;2010;MrSuicideSheep;11291245;4576015459;Canada;Entertainment
780286;2012;Toys And Little Gaby;10207940;3308436856;United Kingdom;Entertainment
780292;2011;T-Series Bhakti Sagar;17085606;6694634384;India;Music
781046;2015;Amazing Kids Toys Review;5688669;1502735210;Australia;Entertainment
781924;;Wave Music;22529703;14859444437;India;Music
790393;2014;Infobells - Hindi;12373965;6137429078;India;Education
794746;2015;Primitive Technology;9294076;685986925;Australia;People
801591;2017;Maître GIMS;7251988;837333992;France;Music
805750;2013;Got Talent Global;7046649;2912060199;United Kingdom;Entertainment
810059;2017;LES BOYS TV2;;2840313614;USA;entertainment
815357;2006;YRF;18353562;9832319838;India;Music
824231;2010;Asia Entertainment Official;547653;514347567;USA;music
826873;2015;Little Angel: Nursery Rhymes & Kids;3299895;1959530041;Canada;Film
829362;2012;Le Rire Jaune;4758886;783875047;France;Comedy
854922;2014;Miss Katy;12891380;6516156250;United Kingdom;People
858145;2005;Zee TV;25228831;17891235890;India;Entertainment
859639;2015;Nickelodeon UK;1916406;1288667292;United Kingdom;Entertainment
862253;2015;Ryan ToysReview;18580854;28045310042;USA;entertainment
865582;2009;SonyMusicIndiaVEVO;19712099;8693466450;USA;music
868926;2006;MerkinMuffly;326184;298916292;USA;sports
898357;2016;SAS-ASMR;5615586;1162806776;Canada;Entertainment
898658;2012;DanTDM;21238929;14468207916;United Kingdom;Games
899881;2010;L'Algerino;5333054;1593312722;France;Music
